country,countryLabel,currency,currencyLabel,population,area,shortName
http://www.wikidata.org/entity/Q1033,Нигерия,http://www.wikidata.org/entity/Q203567,нигерийская найра,211400708,923768,
http://www.wikidata.org/entity/Q1030,Намибия,http://www.wikidata.org/entity/Q202462,доллар Намибии,2533794,825615,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q80524,индийская рупия,15178979,390757,
http://www.wikidata.org/entity/Q917,Бутан,http://www.wikidata.org/entity/Q201799,нгултрум,787424,38394,
http://www.wikidata.org/entity/Q1013,Лесото,http://www.wikidata.org/entity/Q181907,южноафриканский рэнд,2007201,30355,
http://www.wikidata.org/entity/Q1005,Гамбия,http://www.wikidata.org/entity/Q202885,гамбийский даласи,2639916,11300,
http://www.wikidata.org/entity/Q1011,Кабо-Верде,http://www.wikidata.org/entity/Q4591,Эскудо Кабо-Верде,555988,4033,
http://www.wikidata.org/entity/Q833,Малайзия,http://www.wikidata.org/entity/Q163712,малайзийский ринггит,32447385,330803,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q25224,фунт стерлингов,15178979,390757,GBP (£)
http://www.wikidata.org/entity/Q967,Бурунди,http://www.wikidata.org/entity/Q238007,бурундийский франк,13689450,27834,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q181907,южноафриканский рэнд,15178979,390757,
http://www.wikidata.org/entity/Q792,Сальвадор,http://www.wikidata.org/entity/Q4917,доллар США,6029976,21041,US dollar
http://www.wikidata.org/entity/Q1029,Мозамбик,http://www.wikidata.org/entity/Q200753,мозамбикский метикал,29668834,801590,
http://www.wikidata.org/entity/Q986,Эритрея,http://www.wikidata.org/entity/Q171503,эритрейская накфа,3497000,117600,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4917,доллар США,15178979,390757,US dollar
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q8146,японская иена,15178979,390757,JP¥
http://www.wikidata.org/entity/Q836,Мьянма,http://www.wikidata.org/entity/Q201875,кьят,53370609,676577.2,
http://www.wikidata.org/entity/Q1028,Марокко,http://www.wikidata.org/entity/Q200192,марокканский дирхам,36828330,446550,
http://www.wikidata.org/entity/Q817,Кувейт,http://www.wikidata.org/entity/Q193098,кувейтский динар,4464000,17818,
http://www.wikidata.org/entity/Q804,Панама,http://www.wikidata.org/entity/Q210472,панамский бальбоа,4570133,74177.3,
http://www.wikidata.org/entity/Q928,Филиппины,http://www.wikidata.org/entity/Q17193,филиппинское песо,112729484,343448,
http://www.wikidata.org/entity/Q757,Сент-Винсент и Гренадины,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,109897,389,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,Euro
http://www.wikidata.org/entity/Q884,Республика Корея,http://www.wikidata.org/entity/Q202040,южнокорейская вона,51466201,100295,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q921,Бруней,http://www.wikidata.org/entity/Q206319,брунейский доллар,458949,5765.313533,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q39099,китайский юань,15178979,390757,RMB
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q39099,китайский юань,15178979,390757,CNY
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q188608,иранский риал,92417700,1648195,
http://www.wikidata.org/entity/Q1013,Лесото,http://www.wikidata.org/entity/Q208039,Лоти Лесото,2007201,30355,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q39099,китайский юань,15178979,390757,Yuan
http://www.wikidata.org/entity/Q760,Сент-Люсия,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,167591,617.012867,
http://www.wikidata.org/entity/Q858,Сирия,http://www.wikidata.org/entity/Q240468,сирийский фунт,23865423,185180,
http://www.wikidata.org/entity/Q778,Багамские Острова,http://www.wikidata.org/entity/Q194339,багамский доллар,399440,13878,
http://www.wikidata.org/entity/Q826,Мальдивы,http://www.wikidata.org/entity/Q206600,мальдивская руфия,436330,298,
http://www.wikidata.org/entity/Q953,Замбия,http://www.wikidata.org/entity/Q73408,замбийская квача,19610769,752618,
http://www.wikidata.org/entity/Q1020,Малави,http://www.wikidata.org/entity/Q211694,малавийская квача,17563749,118484,
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,http://www.wikidata.org/entity/Q200294,дирхам ОАЭ,9890400,83600,
http://www.wikidata.org/entity/Q963,Ботсвана,http://www.wikidata.org/entity/Q186794,Ботсванская пула,2480244,581737,
http://www.wikidata.org/entity/Q763,Сент-Китс и Невис,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,46922,269.358763,
http://www.wikidata.org/entity/Q784,Доминика,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,74656,751.096551,
http://www.wikidata.org/entity/Q811,Никарагуа,http://www.wikidata.org/entity/Q207312,никарагуанская кордоба,5142098,120340,
http://www.wikidata.org/entity/Q805,Йемен,http://www.wikidata.org/entity/Q240512,йеменский риал,28250420,455503,
http://www.wikidata.org/entity/Q1019,Мадагаскар,http://www.wikidata.org/entity/Q4584,малагасийский ариари,31964956,587295,
http://www.wikidata.org/entity/Q1030,Намибия,http://www.wikidata.org/entity/Q181907,южноафриканский рэнд,2533794,825615,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,евро
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,ευρώ
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euró
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euras
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,eiro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,ewro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q39099,китайский юань,15178979,390757,yuan
http://www.wikidata.org/entity/Q766,Ямайка,http://www.wikidata.org/entity/Q209792,ямайский доллар,2697983,10991.90954,
http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,http://www.wikidata.org/entity/Q4734,конголезский франк,105789731,2344858,
http://www.wikidata.org/entity/Q916,Ангола,http://www.wikidata.org/entity/Q200337,ангольская кванза,36749906,1246700,
http://www.wikidata.org/entity/Q774,Гватемала,http://www.wikidata.org/entity/Q207396,гватемальский кетсаль,17263239,108889,
http://www.wikidata.org/entity/Q977,Джибути,http://www.wikidata.org/entity/Q4594,Франк Джибути,1152944,23200,
http://www.wikidata.org/entity/Q783,Гондурас,http://www.wikidata.org/entity/Q4719,гондурасская лемпира,8303771,112492,
http://www.wikidata.org/entity/Q801,Израиль,http://www.wikidata.org/entity/Q131309,новый израильский шекель,9840000,20770,
http://www.wikidata.org/entity/Q869,Таиланд,http://www.wikidata.org/entity/Q177882,тайский бат,66188503,513119.5,
http://www.wikidata.org/entity/Q804,Панама,http://www.wikidata.org/entity/Q4917,доллар США,4570133,74177.3,US dollar
http://www.wikidata.org/entity/Q851,Саудовская Аравия,http://www.wikidata.org/entity/Q199857,саудовский риял,33000000,2250000,
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,101489,440.29,
http://www.wikidata.org/entity/Q948,Тунис,http://www.wikidata.org/entity/Q4602,тунисский динар,11565204,163610,
http://www.wikidata.org/entity/Q1016,Ливия,http://www.wikidata.org/entity/Q190699,ливийский динар,6678567,1759541,
http://www.wikidata.org/entity/Q863,Таджикистан,http://www.wikidata.org/entity/Q199886,таджикский сомони,9504000,143100,
http://www.wikidata.org/entity/Q790,Гаити,http://www.wikidata.org/entity/Q203955,гаитянский гурд,10981229,27750,
http://www.wikidata.org/entity/Q854,Шри-Ланка,http://www.wikidata.org/entity/Q4596,ланкийская рупия,21444000,65610,
http://www.wikidata.org/entity/Q769,Гренада,http://www.wikidata.org/entity/Q26365,восточно-карибский доллар,114299,348.5,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q4916,евро,15178979,390757,euro
http://www.wikidata.org/entity/Q792,Сальвадор,http://www.wikidata.org/entity/Q131723,Биткоин,6029976,21041,BTC
http://www.wikidata.org/entity/Q881,Вьетнам,http://www.wikidata.org/entity/Q192090,вьетнамский донг,96208984,331690,
http://www.wikidata.org/entity/Q924,Танзания,http://www.wikidata.org/entity/Q4589,танзанийский шиллинг,57310019,947303,
http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),http://www.wikidata.org/entity/Q208526,новый тайваньский доллар,23317031,36193,
http://www.wikidata.org/entity/Q813,Кыргызстан,http://www.wikidata.org/entity/Q35881,киргизский сом,7281800,199951,
http://www.wikidata.org/entity/Q843,Пакистан,http://www.wikidata.org/entity/Q188289,пакистанская рупия,223773700,881913,
http://www.wikidata.org/entity/Q1027,Маврикий,http://www.wikidata.org/entity/Q212967,Маврикийская рупия,1264613,2040,
http://www.wikidata.org/entity/Q846,Катар,http://www.wikidata.org/entity/Q206386,катарский риал,2639211,11437,
http://www.wikidata.org/entity/Q954,Зимбабве,http://www.wikidata.org/entity/Q182803,доллар Зимбабве,15178979,390757,
http://www.wikidata.org/entity/Q796,Ирак,http://www.wikidata.org/entity/Q193094,иракский динар,38274618,437072,
http://www.wikidata.org/entity/Q810,Иордания,http://www.wikidata.org/entity/Q203722,иорданский динар,10428241,89341,
http://www.wikidata.org/entity/Q837,Непал,http://www.wikidata.org/entity/Q202895,непальская рупия,29164578,147181.254346,
http://www.wikidata.org/entity/Q819,Лаос,http://www.wikidata.org/entity/Q200055,лаосский кип,6858160,236800,
http://www.wikidata.org/entity/Q754,Тринидад и Тобаго,http://www.wikidata.org/entity/Q242890,доллар Тринидада и Тобаго,1369125,5128,
