currency,currencyLabel,shortName,price,year,unitLabel,unitSymbol
http://www.wikidata.org/entity/Q193094,иракский динар,,0.0007102,2020,евро,د.ع
http://www.wikidata.org/entity/Q193094,иракский динар,,0.0007102,2020,евро,ID
http://www.wikidata.org/entity/Q193098,кувейтский динар,,3.2819,2016,доллар США,د.ك
http://www.wikidata.org/entity/Q193098,кувейтский динар,,3,2016,доллар США,د.ك
http://www.wikidata.org/entity/Q193098,кувейтский динар,,3.2819,2016,доллар США,KD
http://www.wikidata.org/entity/Q193098,кувейтский динар,,3,2016,доллар США,KD
http://www.wikidata.org/entity/Q194453,бангладешская така,,0.0124,2017,доллар США,৳
http://www.wikidata.org/entity/Q194453,бангладешская така,,0.0128,2016,доллар США,৳
http://www.wikidata.org/entity/Q199462,египетский фунт,,0.018,2024,евро,LE
http://www.wikidata.org/entity/Q199462,египетский фунт,,0.016,2024,фунт стерлингов,LE
http://www.wikidata.org/entity/Q199462,египетский фунт,,0.02,2024,доллар США,LE
http://www.wikidata.org/entity/Q199471,афгани,AFN,0.01161,2019,евро,؋
http://www.wikidata.org/entity/Q199471,афгани,AFN,0.01161,2019,евро,Afs
http://www.wikidata.org/entity/Q199578,аргентинское песо,,0.01511,2020,евро,$
http://www.wikidata.org/entity/Q199578,аргентинское песо,,0.06486,2016,доллар США,$
http://www.wikidata.org/entity/Q199674,алжирский динар,,0.007354,2019,евро,DA
http://www.wikidata.org/entity/Q199886,таджикский сомони,,0.08202,2020,евро,SM
http://www.wikidata.org/entity/Q200050,чилийское песо,,0.001489,2016,доллар США,CLP$
http://www.wikidata.org/entity/Q200055,лаосский кип,,0.00009277,2020,евро,₭
http://www.wikidata.org/entity/Q200192,марокканский дирхам,,0.1,2024,евро,DH
http://www.wikidata.org/entity/Q200294,дирхам ОАЭ,,0.2722,2018,доллар США,DH
http://www.wikidata.org/entity/Q200337,ангольская кванза,,0.0027924,2019,евро,Kz
http://www.wikidata.org/entity/Q200337,ангольская кванза,,0.00095123,2025,евро,Kz
http://www.wikidata.org/entity/Q200337,ангольская кванза,,0.0027924,2019,евро,Kz
http://www.wikidata.org/entity/Q200337,ангольская кванза,,0.00095123,2025,евро,Kz
http://www.wikidata.org/entity/Q200737,боливиано,,0.128041,2019,евро,Bs
http://www.wikidata.org/entity/Q200737,боливиано,,0.128041,2019,евро,Bs
http://www.wikidata.org/entity/Q200753,мозамбикский метикал,,0.011812,2020,евро,MT
http://www.wikidata.org/entity/Q200759,Кина,,0.24281,2020,евро,K
http://www.wikidata.org/entity/Q201871,бахрейнский динар,,2,2016,доллар США,BD
http://www.wikidata.org/entity/Q201875,кьят,,0.0006311,2020,евро,K
http://www.wikidata.org/entity/Q202036,суринамский доллар,,0.11774,2019,евро,$
http://www.wikidata.org/entity/Q202040,южнокорейская вона,,0.00085,2016,доллар США,₩
http://www.wikidata.org/entity/Q202040,южнокорейская вона,,0.00076349,2020,евро,₩
http://www.wikidata.org/entity/Q202882,кенийский шиллинг,,0.007818,2020,евро,Ksh
http://www.wikidata.org/entity/Q202885,гамбийский даласи,,0.017641,2019,евро,D
http://www.wikidata.org/entity/Q202895,непальская рупия,,0.0078,2022,доллар США,N₨
http://www.wikidata.org/entity/Q203567,нигерийская найра,,0.0022656,2018,евро,₦
http://www.wikidata.org/entity/Q203567,нигерийская найра,,0.0022656,2018,евро,₦
http://www.wikidata.org/entity/Q203955,гаитянский гурд,,0.00755,2020,евро,Gde.
http://www.wikidata.org/entity/Q203955,гаитянский гурд,,0.00755,2020,евро,G
http://www.wikidata.org/entity/Q203955,гаитянский гурд,,0.00755,2020,евро,G
http://www.wikidata.org/entity/Q204656,перуанский новый соль,,0.23735,2020,евро,S/.
http://www.wikidata.org/entity/Q204737,камбоджийский риель,,0.00020654,2020,евро,៛
http://www.wikidata.org/entity/Q206243,эфиопский быр,,0.030593,2019,евро,Br
http://www.wikidata.org/entity/Q206319,брунейский доллар,,1.893939393939394,2018,доллар США,B$
http://www.wikidata.org/entity/Q206600,мальдивская руфия,,0.055741,2019,евро,Rf
http://www.wikidata.org/entity/Q206600,мальдивская руфия,,0.055741,2019,евро,ރ
http://www.wikidata.org/entity/Q206600,мальдивская руфия,,0.055741,2019,евро,MRF
http://www.wikidata.org/entity/Q207024,Мавританская угия,,0.0271761,2023,евро,UM
http://www.wikidata.org/entity/Q207312,никарагуанская кордоба,,0.024271,2020,евро,C$
http://www.wikidata.org/entity/Q207396,гватемальский кетсаль,,0.1126,2019,евро,Q
http://www.wikidata.org/entity/Q207514,парагвайский гуарани,,0.00011560693,2025,евро,₲
http://www.wikidata.org/entity/Q207523,вату,,0.0077549,2019,евро,VT
http://www.wikidata.org/entity/Q208526,новый тайваньский доллар,,0.028008,2018,евро,NT$
http://www.wikidata.org/entity/Q208526,новый тайваньский доллар,,0.028008,2018,евро,NT$
http://www.wikidata.org/entity/Q209272,уругвайское песо,,0.023517,2020,доллар США,$U
http://www.wikidata.org/entity/Q209792,ямайский доллар,,0.0056349,2020,евро,J$
http://www.wikidata.org/entity/Q212967,Маврикийская рупия,,0.027816,2016,доллар США,₨
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0041677,2019,евро,GY$
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0040529,2020,евро,GY$
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0041677,2019,евро,GY$
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0040529,2020,евро,GY$
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0041677,2019,евро,G$
http://www.wikidata.org/entity/Q213005,гайанский доллар,,0.0040529,2020,евро,G$
http://www.wikidata.org/entity/Q213311,Гвинейский франк,,0.000095471,2019,евро,FG
http://www.wikidata.org/entity/Q213327,Франк Тичино,,1,1813,швейцарский франк,
http://www.wikidata.org/entity/Q213327,Франк Тичино,,1.5,1850,швейцарский франк,
http://www.wikidata.org/entity/Q238007,бурундийский франк,,0.00029511,2025,евро,FBu
http://www.wikidata.org/entity/Q238007,бурундийский франк,,0.00029511,2025,евро,FBu
http://www.wikidata.org/entity/Q240468,сирийский фунт,,0.001653,2020,евро,LS
http://www.wikidata.org/entity/Q240468,сирийский фунт,,0.0000796,2023,доллар США,LS
http://www.wikidata.org/entity/Q240468,сирийский фунт,,0.001653,2020,евро,syr£
http://www.wikidata.org/entity/Q240468,сирийский фунт,,0.0000796,2023,доллар США,syr£
http://www.wikidata.org/entity/Q240512,йеменский риал,,0.0037037037037037,2016,доллар США,﷼'
http://www.wikidata.org/entity/Q241214,патака Макао,,0.117357,2023,евро,MOP$
http://www.wikidata.org/entity/Q106720,вона КНДР,,0.0009,2018,евро,₩
http://www.wikidata.org/entity/Q122922,шведская крона,SEK,0.09718,2018,евро,kr
http://www.wikidata.org/entity/Q123213,польский злотый,,0.232,2018,евро,zł
http://www.wikidata.org/entity/Q123213,польский злотый,,0.227035,2020,евро,zł
http://www.wikidata.org/entity/Q125999,албанский лек,,0.0082237,2019,евро,L
http://www.wikidata.org/entity/Q130498,армянский драм,,0.0017916,2019,евро,֏
http://www.wikidata.org/entity/Q131016,чешская крона,,0.039243,2016,доллар США,Kč
http://www.wikidata.org/entity/Q131016,чешская крона,,0.039,2018,евро,Kč
http://www.wikidata.org/entity/Q131016,чешская крона,,0.039974,2025,евро,Kč
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.26254,2020,евро,₪
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.3,2022,доллар США,₪
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.2892,2018,доллар США,₪
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.26254,2020,евро,₪
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.3,2022,доллар США,₪
http://www.wikidata.org/entity/Q131309,новый израильский шекель,,0.2892,2018,доллар США,₪
http://www.wikidata.org/entity/Q131473,исландская крона,,0.008821,2016,доллар США,kr
http://www.wikidata.org/entity/Q131473,исландская крона,,0.00659630607,2021,евро,kr
http://www.wikidata.org/entity/Q131473,исландская крона,,0.008821,2016,доллар США,kr
http://www.wikidata.org/entity/Q131473,исландская крона,,0.00659630607,2021,евро,kr
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,rumen leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,rumen leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,rumen leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,rumen leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,rumen leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,rumunski lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,rumunski lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,rumunski lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,rumunski lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,rumunski lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,pумынский лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,pумынский лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,pумынский лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,pумынский лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,pумынский лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,leu rumuński
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,leu rumuński
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,leu rumuński
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,leu rumuński
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,leu rumuński
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,lei
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,lei
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,lei
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,lei
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,lei
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,román lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,román lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,román lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,román lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,román lej
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,leu roumain
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,leu roumain
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,leu roumain
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,leu roumain
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,leu roumain
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,rumänischer Leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,rumänischer Leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,rumänischer Leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,rumänischer Leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,rumänischer Leu
http://www.wikidata.org/entity/Q131645,румынский лей,,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,pумънски лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.547,2018,доллар США,pумънски лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.2,2024,евро,pумънски лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.209,2020,евро,pумънски лей
http://www.wikidata.org/entity/Q131645,румынский лей,,0.215,2024,доллар США,pумънски лей
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,103331.32,2024,доллар США,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,7511.5,2018,доллар США,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,36788.8,2022,доллар США,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,27192.69,2023,доллар США,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,33232.34,2021,доллар США,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,31373.06,2020,бразильский реал,₿
http://www.wikidata.org/entity/Q131723,Биткоин,BTC,66271.3,2024,доллар США,₿
http://www.wikidata.org/entity/Q132643,норвежская крона,NOK,0.99,2024,шведская крона,kr
http://www.wikidata.org/entity/Q132643,норвежская крона,NOK,0.086,2024,евро,kr
http://www.wikidata.org/entity/Q132643,норвежская крона,NOK,0.64,2024,датская крона,kr
http://www.wikidata.org/entity/Q132643,норвежская крона,NOK,0.094,2024,доллар США,kr
http://www.wikidata.org/entity/Q132643,норвежская крона,NOK,0.20097674699037321381916112305806218220551882147235564845147416443917438752,2025,евро,kr
